,Gencode_1,Gencode_2,Gencode_3,Gencode_4,Gencode_5,Gencode_6,Gencode_7,Gencode_8,Gencode_9,Gencode_10,Gencode_11,Gencode_12,Gencode_13,Gencode_14,Gencode_15,Gencode_16,Gencode_17,Gencode_18,Gencode_19,Gencode_20,Gencode_21,Gencode_22,Gencode_23,Gencode_24
PB.4702.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1001,1001
PB.4702.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.3,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.4,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.12,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.10,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.11,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1001,1001,1001
PB.4702.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001
PB.4702.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001
PB.4702.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1001,1001,1001,1001,1001,1001
PB.4702.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.28,0,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.25,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.17,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.23,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.18,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.19,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.20,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.21,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.38,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.45,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.47,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.48,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.46,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.51,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.56,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.58,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.59,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.60,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
PB.4702.61,0,1,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
